customer_id,Name,age,gender,phone_number,customer_location,purchase_date,product_category,purchase_amount,preferred_payment_method,loyality_score,purchase_year,estimated_profit
1,Heddi Franzewitch,45,Unknown,602-122-2212,Vizag,27.10.2021,Books,85149,Credit card,38,2021,8514.9
2,Elva McIlmurray,17,Unknown,935-456-3692,Guntur,16.2.2022,Electronics,38171,Cash,51,2022,3817.1000000000004
3,Hobard Jaan,20,Male,208-197-1165,Unkown,18.9.2023,Groceries,15315,Cash,3,2023,1531.5
4,Rozanna Birdsall,44,Female,572-520-0369,Vijayawada,3.9.2023,Groceries,43680,Credit card,88,2023,4368.0
5,Jermaine Wicken,20,Unknown,571-488-3899,Vijayawada,12.6.2021,Electronics,87037,Mobile payment,41,2021,8703.7
6,Karl Oxshott,50,Male,949-785-8070,Chittor,4.7.2022,Electronics,73376,Cash,29,2022,7337.6
7,Ronni Sorton,15,Female,342-330-9538,Vizag,27.3.2021,Groceries,93670,Credit card,35,2021,9367.0
8,Tobie Binnall,27,Male,194-871-9457,Vizag,23.2.2021,Clothing,50705,Cash,84,2021,5070.5
9,Cassy Garwood,39,Female,939-235-1792,Vijayawada,15.7.2021,Toys,86705,Mobile payment,20,2021,8670.5
10,Beitris Kimblen,42,Female,768-504-2064,Vizag,23.9.2022,Toys,57545,Cash,71,2022,5754.5
11,Brynna Feasley,53,Female,916-422-1626,Kurnool,23.4.2023,Groceries,45093,Credit card,54,2023,4509.3
12,Yehudi Petrillo,46,Unknown,412-964-4195,Kurnool,17.10.2023,Clothing,28942,Credit card,28,2023,2894.2000000000003
13,Cale Haddick,41,Female,625-156-6035,Chittor,11.9.2022,Home Appliances,16870,Cash,46,2022,1687.0
14,Sheffie Jorissen,40,Male,557-458-5991,Kurnool,24.4.2022,Electronics,19315,Cash,50,2022,1931.5
15,Jeno Burberry,40,Unknown,157-720-5568,Kurnool,27.1.2023,Toys,53286,Mobile payment,16,2023,5328.6
16,Devy Salsberg,31,Male,906-521-2016,Vijayawada,1.3.2022,Electronics,72619,Cash,65,2022,7261.900000000001
17,Jacklyn Tuer,32,Male,647-502-0567,Chittor,28.7.2022,Toys,89891,Cash,98,2022,8989.1
18,Revkah Whyler,60,Male,783-165-8547,Vizag,15.4.2022,Home Appliances,54156,Credit card,89,2022,5415.6
19,Nannette Clarkson,59,Unknown,197-262-8224,Vijayawada,8.7.2021,Groceries,39781,Cash,8,2021,3978.1000000000004
20,Emili Durban,31,Female,635-119-9453,Kurnool,6.2.2021,Unkown,84761,Credit card,26,2021,8476.1
21,Hedwig Meijer,21,Unknown,718-459-1107,Vijayawada,23.10.2021,Electronics,24320,Cash,32,2021,2432.0
22,Bobbee Jacox,33,Female,189-649-9036,Kurnool,28.12.2021,Electronics,44892,Mobile payment,86,2021,4489.2
23,Lynette Labbati,27,Male,325-330-9546,Vijayawada,24.12.2022,Books,50322,Credit card,96,2022,5032.200000000001
24,Brigida Pickthorn,43,Male,970-447-8529,Unkown,1.4.2021,Books,14285,Cash,29,2021,1428.5
25,Benji Selland,46,Female,808-987-4535,Vijayawada,17.1.2021,Clothing,72542,Credit card,48,2021,7254.200000000001
26,Vita Delgaty,24,Unknown,628-118-3748,Kurnool,15.5.2022,Electronics,18232,Credit card,43,2022,1823.2
27,Kahlil Adne,15,Male,790-554-4584,Unkown,21.10.2023,Electronics,32605,Cash,73,2023,3260.5
28,Ninette Simonetti,59,Female,336-735-9138,Vijayawada,2.10.2021,Toys,30043,Cash,43,2021,3004.3
29,Hinze Petrie,28,Unknown,877-932-7933,Vijayawada,19.5.2021,Home Appliances,84285,Cash,25,2021,8428.5
30,Blancha Jannings,16,Female,730-903-8333,Vijayawada,20.7.2021,Clothing,26743,Cash,51,2021,2674.3
31,Hilario McFadden,40,Male,579-171-1894,Kurnool,4.10.2021,Groceries,98458,Mobile payment,3,2021,9845.800000000001
32,Catrina Scorrer,52,Unknown,307-617-0119,Vijayawada,4.6.2023,Home Appliances,91083,Cash,47,2023,9108.300000000001
33,Ashly Stalf,26,Female,129-981-8640,Kurnool,2.11.2021,Books,83192,Credit card,64,2021,8319.2
34,Carlie Asp,41,Female,357-530-4035,Kurnool,4.7.2022,Toys,41145,Cash,89,2022,4114.5
35,Frazer Wathen,36,Unknown,545-635-3783,Kurnool,12.10.2022,Books,29039,Cash,100,2022,2903.9
36,Morey Paragreen,48,Female,698-454-8109,Guntur,23.10.2023,Groceries,51832,Cash,14,2023,5183.200000000001
37,Otho Mulgrew,36,Male,537-930-6262,Vijayawada,2.8.2021,Books,67054,Cash,17,2021,6705.400000000001
38,Noble Mapham,55,Female,660-952-1739,Guntur,13.3.2021,Home Appliances,89368,Cash,41,2021,8936.800000000001
39,Caroline Dingwall,46,Female,233-965-8869,Guntur,29.11.2021,Books,90665,Cash,53,2021,9066.5
40,Abbie Cason,31,Female,265-719-9274,Chittor,15.2.2021,Groceries,24440,Credit card,83,2021,2444.0
41,Laurie Ruger,20,Female,369-598-1440,Vijayawada,15.5.2021,Groceries,13655,Credit card,75,2021,1365.5
42,Marianna Eliasen,42,Female,663-399-5138,Guntur,3.8.2021,Electronics,43371,Credit card,96,2021,4337.1
43,Dottie Herculson,55,Unknown,490-852-9348,Kurnool,31.12.2021,Toys,15802,Mobile payment,84,2021,1580.2
